url,archive
https://kvoa.com/news/top-stories/2021/05/24/suspect-dead-after-police-pursuit-officer-involved-shooting-in-nogales/,https://web.archive.org/web/20210524232153/https://kvoa.com/news/top-stories/2021/05/24/suspect-dead-after-police-pursuit-officer-involved-shooting-in-nogales/
https://www.kdrv.com/content/news/Officer-involved-shooting-near-Rogue-River-ends-with-suspect-dead-Sherriffs-Office-says-574448201.html,https://web.archive.org/web/20210519005347/https://www.kdrv.com/content/news/Officer-involved-shooting-near-Rogue-River-ends-with-suspect-dead-Sherriffs-Office-says-574448201.html
https://wrbiradio.com/2021/05/12/isp-investigating-crash-that-killed-skateboarder-involved-off-duty-deputy/,https://web.archive.org/web/20210512133811/https://wrbiradio.com/2021/05/12/isp-investigating-crash-that-killed-skateboarder-involved-off-duty-deputy/
https://www.kob.com/albuquerque-news/apd-suspect-hit-and-killed-during-foot-pursuit/6102860/,https://web.archive.org/web/20210510215010/https://www.kob.com/albuquerque-news/apd-suspect-hit-and-killed-during-foot-pursuit/6102860/
https://abcnews.go.com/US/wireStory/rhode-island-investigating-death-man-handcuffed-police-77575215,https://web.archive.org/web/20210508160208/https://abcnews.go.com/US/wireStory/rhode-island-investigating-death-man-handcuffed-police-77575215
https://www.waaytv.com/content/news/Madison-County-Sheriffs-Office-Driver-dead-after-high-speed-chase-hitting-patrol-car-574313291.html,https://web.archive.org/web/20210429155522/https://www.waaytv.com/content/news/Madison-County-Sheriffs-Office-Driver-dead-after-high-speed-chase-hitting-patrol-car-574313291.html
https://www.actionnewsnow.com/content/news/Man-killed-in-Redding-officer-involved-shooting-574149341.html,https://web.archive.org/web/20210406234218/https://www.actionnewsnow.com/content/news/Man-killed-in-Redding-officer-involved-shooting-574149341.html
https://watchourcity.com/communities/about-california-southern/man-charged-with-sexual-assault-dies-in-crash-after-leading-police-on-pursuit/,https://web.archive.org/web/20210326061645/https://watchourcity.com/communities/about-california-southern/man-charged-with-sexual-assault-dies-in-crash-after-leading-police-on-pursuit/
https://abcnews.go.com/US/wireStory/connecticut-man-killed-louisiana-police-chase-76395448,https://web.archive.org/web/20210315234920/https://abcnews.go.com/US/wireStory/connecticut-man-killed-louisiana-police-chase-76395448
https://www.kdrv.com/content/news/Law-enforcement-responds-to-shooting-near-Church-on-the-Hill-in-Eagle-Point-573858101.html,https://web.archive.org/web/20210224072041/https://www.kdrv.com/content/news/Law-enforcement-responds-to-shooting-near-Church-on-the-Hill-in-Eagle-Point-573858101.html
http://kmph-kfre.com/archive/man-held-in-fatal-crash-and-arrested-for-child-stealing,
http://www.news4jax.com/news/man-24-shot-by-police-charged-in-cvs-robbery-shooting/20918158,https://web.archive.org/web/20150801023225/http://www.news4jax.com/news/man-24-shot-by-police-charged-in-cvs-robbery-shooting/20918158
https://www.clickorlando.com/news/local/2021/02/12/wanted-man-found-dead-in-orlando-condo-after-6-hour-police-standoff/#//,https://web.archive.org/web/20210212130106/https://www.clickorlando.com/news/local/2021/02/12/wanted-man-found-dead-in-orlando-condo-after-6-hour-police-standoff/
https://www.actionnewsnow.com/content/news/Red-Bluff-Police-chase-motorcyclist-dragging-a-dead-man-behind-his-vehicle-573757281.html,https://web.archive.org/web/20210209154608/https://www.actionnewsnow.com/content/news/Red-Bluff-Police-chase-motorcyclist-dragging-a-dead-man-behind-his-vehicle-573757281.html
https://www.actionnewsnow.com/content/news/Officer-Involved-shooting-on-Cypress-Ave-Bridge-in-Redding-573747201.html,https://web.archive.org/web/20210208033824/https://www.actionnewsnow.com/content/news/Officer-Involved-shooting-on-Cypress-Ave-Bridge-in-Redding-573747201.html
https://www.heraldstandard.com/news/state/florida-man-fatally-shoots-woman-in-front-of-police-officer/article_c40b444b-45ec-5232-a6c8-7ec8c23c330b.html,
https://www.heraldstandard.com/news/state/florida-man-fatally-shoots-woman-in-front-of-police-officer/article_c40b444b-45ec-5232-a6c8-7ec8c23c330b.html,
https://hoiabc.com/2021/02/02/police-chief-suspect-shot-dead-after-stabbing-east-peoria-police-officer/,https://web.archive.org/web/20210202095719/https://hoiabc.com/2021/02/02/police-chief-suspect-shot-dead-after-stabbing-east-peoria-police-officer/
https://kbjr6.com/2021/01/29/car-jacking-suspect-killed-in-officer-involved-shooting/,https://web.archive.org/web/20210130045131/https://kbjr6.com/2021/01/29/car-jacking-suspect-killed-in-officer-involved-shooting/
https://wpta21.com/2021/01/28/officer-involved-shooting-man-dies/,https://web.archive.org/web/20210208232608/https://wpta21.com/2021/01/28/officer-involved-shooting-man-dies/
https://www.wbtv.com/2021/01/03/sheriff-deputies-shot-while-working-texas-nightclub/,https://web.archive.org/web/20210104070147/https://www.wbtv.com/2021/01/03/sheriff-deputies-shot-while-working-texas-nightclub/
https://www.newsday.com/long-island/fatal-crash-arrest-red-light-1.50108737,https://web.archive.org/web/20210104070633/https://www.newsday.com/long-island/fatal-crash-arrest-red-light-1.50108737
https://www.oaoa.com/news/crime_justice/law_enforcement/opd-investigating-suicide-in-east-odessa/article_0116bf08-4b89-11eb-b557-dba5f1749dd8.html,https://web.archive.org/web/20210101000636/https://www.oaoa.com/news/crime_justice/law_enforcement/opd-investigating-suicide-in-east-odessa/article_0116bf08-4b89-11eb-b557-dba5f1749dd8.html
https://abcnews.go.com/US/wireStory/sheriff-dead-houston-domestic-violence-shooting-74972928,https://web.archive.org/web/20201230175604/https://abcnews.go.com/US/wireStory/sheriff-dead-houston-domestic-violence-shooting-74972928
https://kstp.com/news/felony-suspect-shot-killed-by-officers-in-minneapolis-powderhorn-neighborhood-investigation-underway/5964297/,https://web.archive.org/web/20201231015055/https://kstp.com/news/felony-suspect-shot-killed-by-officers-in-minneapolis-powderhorn-neighborhood-investigation-underway/5964297/
https://www.mankatofreepress.com/news/state_national_news/mississippi-deputy-4-found-dead-suspect-dies-after-chase/article_fc72a340-e115-52e6-bdc0-4728f83397b4.html,
https://www.wnem.com/news/flint-man-dead-after-officer-involved-shooting/article_6bec9d10-3a5a-11eb-b3d4-ab9cdd6850f1.html,https://web.archive.org/web/20201212023612/https://www.wnem.com/news/flint-man-dead-after-officer-involved-shooting/article_6bec9d10-3a5a-11eb-b3d4-ab9cdd6850f1.html
https://www.waaytv.com/content/news/Troopers-Tuscumbia-man-killed-in-crash-while-trying-to-get-away-from-police-573193811.html,https://web.archive.org/web/20201125181255/https://www.waaytv.com/content/news/Troopers-Tuscumbia-man-killed-in-crash-while-trying-to-get-away-from-police-573193811.html
https://www.demingheadlight.com/story/news/2020/11/25/nm-state-police-investigate-officer-involved-shooting-deming/6421629002/,https://web.archive.org/web/20201125183215/https://www.demingheadlight.com/story/news/2020/11/25/nm-state-police-investigate-officer-involved-shooting-deming/6421629002/
https://abcnews.go.com/US/wireStory/police-officers-fatally-shoot-man-mississippi-store-74203735,https://web.archive.org/web/20201114052029/https://abcnews.go.com/US/wireStory/police-officers-fatally-shoot-man-mississippi-store-74203735
https://wvah.com/news/local/morgantown-police-say-man-sought-on-warrants-dies-after-pursuit-shooting-himself-in-chest,
https://www.kob.com/new-mexico-news/state-police-investigate-double-homicide-in-las-vegas/5918998/?cat=500,https://web.archive.org/web/20201114235511/https://www.kob.com/new-mexico-news/state-police-investigate-double-homicide-in-las-vegas/5918998/?cat=500
https://www.kob.com/new-mexico-news/state-police-investigate-double-homicide-in-las-vegas/5918998/?cat=500,https://web.archive.org/web/20201114235511/https://www.kob.com/new-mexico-news/state-police-investigate-double-homicide-in-las-vegas/5918998/?cat=500
https://www.gradickcommunications.com/2021/08/05/district-attorney-finds-that-trooper-was-justified-in-using-deadly-force-to-stop-fleeing-suspect-in-carrollcountyga/,https://web.archive.org/web/20210805201113/https://www.gradickcommunications.com/2021/08/05/district-attorney-finds-that-trooper-was-justified-in-using-deadly-force-to-stop-fleeing-suspect-in-carrollcountyga/
https://www.brownsvilleherald.com/2020/11/06/police-dallas-shootout-kills-suspect-wounds-campus-officer/,https://web.archive.org/web/20201128052732/https://www.brownsvilleherald.com/2020/11/06/police-dallas-shootout-kills-suspect-wounds-campus-officer/
https://kvta.com/news/ventura-police-say-suspect-killed-in-officer-involved-shooting-had-loaded-handgun/,
https://www.pjstar.com/news/20201105/coroner-identifies-man-killed-in-fulton-county-officer-involved-shooting,https://web.archive.org/web/20201106035137/https://www.pjstar.com/news/20201105/coroner-identifies-man-killed-in-fulton-county-officer-involved-shooting
https://kvoa.com/news/top-stories/2020/10/29/tpd-identifies-suspect-who-died-in-southside-officer-involved-shooting/,https://web.archive.org/web/20201102185245/https://kvoa.com/news/top-stories/2020/10/29/tpd-identifies-suspect-who-died-in-southside-officer-involved-shooting/
https://californiainjuryaccidentlawyer.com/adrian-mathis-fatal-north-highlands-crash-watt-avenue/?fbclid=IwAR16Si8ZwWakkZAE9gGxySHZiJKGakNUTxobg9NWKsjJuVZUl_ymIDN4u_k,
https://www.wflx.com/2020/10/27/broward-county-armed-carjacking-suspect-killed-officer-involved-shooting-near-lake-worth/,
https://mycanyonlake.com/new-braunfels-man-fleeing-scene-dies-in-car-crash/,https://web.archive.org/web/20201021161734/https://mycanyonlake.com/new-braunfels-man-fleeing-scene-dies-in-car-crash/
https://www.waaytv.com/content/news/Bullets-tear-through-Huntsville-home-bedroom-after-police-shoot-kill-standoff-suspect-573109101.html,https://web.archive.org/web/20201118010054/https://www.waaytv.com/content/news/Bullets-tear-through-Huntsville-home-bedroom-after-police-shoot-kill-standoff-suspect-573109101.html
https://www.waaytv.com/content/news/Huntsville-police-find-officers-acted-according-to-policy-in-deadly-shooting-573136871.html,https://web.archive.org/web/20201120030034/https://www.waaytv.com/content/news/Huntsville-police-find-officers-acted-according-to-policy-in-deadly-shooting-573136871.html
https://lasd.org/wp-content/uploads/2020/12/Transparency_DIS_SLA_Summary_Dana_Mitchell_Young_101520.pdf,
https://fortwaynesnbc.com/2020/10/13/woman-who-crashed-stolen-car-following-police-chase-idd-as-24-year-old/,
https://www.kob.com/albuquerque-news/apd-releases-details-of-officer-involved-shooting-that-killed-murder-suspect/5934677/,https://web.archive.org/web/20201125194000/https://www.kob.com/albuquerque-news/apd-releases-details-of-officer-involved-shooting-that-killed-murder-suspect/5934677/
https://www.actionnewsnow.com/content/news/Bicyclist-killed-by-Anderson-Police-Car-572715691.html,https://web.archive.org/web/20201015055721/https://www.actionnewsnow.com/content/news/Bicyclist-killed-by-Anderson-Police-Car-572715691.html
https://www.inforum.com/incoming/6695223-Police-identify-innocent-elderly-couple-killed-during-chase,https://web.archive.org/web/20201004195706/https://www.inforum.com/incoming/6695223-Police-identify-innocent-elderly-couple-killed-during-chase
https://www.inforum.com/incoming/6695223-Police-identify-innocent-elderly-couple-killed-during-chase,https://web.archive.org/web/20201004195706/https://www.inforum.com/incoming/6695223-Police-identify-innocent-elderly-couple-killed-during-chase
https://www.yaktrinews.com/wanted-man-passenger-killed-while-fleeing-troopers-on-i-82/,https://web.archive.org/web/20200923204206/https://www.yaktrinews.com/wanted-man-passenger-killed-while-fleeing-troopers-on-i-82/
https://www.yaktrinews.com/wanted-man-passenger-killed-while-fleeing-troopers-on-i-82/,https://web.archive.org/web/20200923204206/https://www.yaktrinews.com/wanted-man-passenger-killed-while-fleeing-troopers-on-i-82/
